,year,month,lat,lon,depth,btm_sub,sfc_temp,sfc_salt,btm_temp,btm_salt,limfer_100m3
197,2000,3,37.0883,-75.65,16,3,6.64,32.344,6.62,32.347,0.0
198,2000,3,37.3483,-75.1533,28,3,7.04,33.675,7.07,33.683,0.0
199,2000,3,37.625,-75.4817,15,3,6.69,32.295,6.75,32.441,0.0
200,2000,3,38.005,-74.81,31,3,7.18,33.213,6.3,33.274,0.0
201,2000,3,38.4383,-74.9433,20,3,7.23,31.975,6.37,32.297,0.0
202,2000,3,38.82,-74.8067,17,3,6.37,32.334,6.27,32.332,0.0
203,2000,3,38.6817,-74.27,41,3,7.09,33.681999999999995,6.59,33.686,10.0
204,2000,3,39.045,-74.335,30,3,6.07,33.032,6.29,33.663000000000004,6.0
205,2000,3,39.2533,-73.8983,33,3,6.45,33.489000000000004,7.25,33.957,0.0
206,2000,3,39.3,-74.1517,26,3,5.73,32.138000000000005,5.94,33.445,0.0
207,2000,3,39.5683,-73.8417,28,3,7.77,32.97,6.53,33.733000000000004,6.0
208,2000,3,40.0817,-73.5183,77,3,5.91,33.048,5.69,33.342,1.0
209,2000,3,40.0,-73.8833,25,3,5.86,31.615,5.15,32.75,2.0
210,2000,3,40.3517,-73.6133,23,3,6.4,32.135999999999996,5.27,32.631,0.0
211,2000,3,40.4883,-73.2783,26,3,5.5,32.357,4.88,32.363,0.0
212,2000,3,40.285,-73.12,40,3,5.57,32.673,5.34,33.184,1.0
213,2000,3,40.0367,-72.8433,55,3,7.12,33.473,6.41,33.465,0.0
214,2000,3,39.8767,-73.1317,57,3,6.95,33.439,6.47,33.528,0.0
215,2000,3,39.8333,-71.83,178,3,10.37,34.509,13.32,35.734,0.0
216,2000,3,40.0067,-72.1967,80,3,7.17,33.292,8.22,33.861999999999995,0.0
217,2000,3,40.13,-71.87,77,3,6.93,33.289,8.65,33.998000000000005,0.0
218,2000,3,40.6867,-72.075,48,3,5.67,32.799,4.68,32.96,0.0
